positionX,positionY,start,end
1,2,20240319 15:58:00,20240319 15:58:30
1,3,20240319 15:59:30,20240319 15:59:50
1,4,20240319 16:00:50,20240319 16:01:10
1,5,20240319 16:02:10,20240319 16:02:30
1,6,20240319 16:03:30,20240319 16:03:50
1,7,20240319 16:04:50,20240319 16:05:10
1,8,20240319 16:06:10,20240319 16:06:30
1,9,20240319 16:07:30,20240319 16:07:50
1,10,20240319 16:08:50,20240319 16:09:10
6,2,20240319 16:12:40,20240319 16:13:00
6,3,20240319 16:14:00,20240319 16:14:20
6,4,20240319 16:15:20,20240319 16:15:40
6,5,20240319 16:16:40,20240319 16:17:00
6,6,20240319 16:18:00,20240319 16:18:20
6,7,20240319 16:19:20,20240319 16:19:50
6,8,20240319 16:20:50,20240319 16:21:10
6,9,20240319 16:22:10,20240319 16:22:30
6,10,20240319 16:23:30,20240319 16:23:50
11,2,20240319 16:26:20,20240319 16:26:40
11,3,20240319 16:27:40,20240319 16:28:00
11,4,20240319 16:29:00,20240319 16:29:20
11,5,20240319 16:30:20,20240319 16:30:50
11,6,20240319 16:31:50,20240319 16:32:10
11,7,20240319 16:33:10,20240319 16:33:40
11,9,20240319 16:35:20,20240319 16:35:40
11,10,20240319 16:36:40,20240319 16:37:00
2,11,20240319 16:39:30,20240319 16:39:50
3,11,20240319 16:40:50,20240319 16:41:10
4,11,20240319 16:42:10,20240319 16:42:30
5,11,20240319 16:43:30,20240319 16:43:50
6,11,20240319 16:44:50,20240319 16:45:10
7,11,20240319 16:46:10,20240319 16:46:30
8,11,20240319 16:47:30,20240319 16:47:50
9,11,20240319 16:48:50,20240319 16:49:20
10,11,20240319 16:50:20,20240319 16:51:00
11,11,20240319 16:52:00,20240319 16:52:20
